,N/L,Flow,Pat,r_a
0,0.0,0.0,1,4
1,0.1,0.049974,1,4
2,0.2,0.099908,1,4
3,0.3,0.14987,1,4
4,0.4,0.199836,1,4
5,0.5,0.24979,1,4
6,0.6,0.299728,1,4
7,0.7,0.349664,1,4
8,0.8,0.399562,1,4
9,0.9,0.449574,1,4
10,1.0,0.49957,1,4
11,1.1,0.549518,1,4
12,1.2,0.599478,1,4
13,1.3,0.649342,1,4
14,1.4,0.699162,1,4
15,1.5,0.749172,1,4
16,1.6,0.798816,1,4
17,1.7,0.848744,1,4
18,1.8,0.897938,1,4
19,1.9,0.947936,1,4
20,2.0,0.987148,1,4
21,2.1,0.961996,1,4
22,2.2,0.860242,1,4
23,2.3,0.868114,1,4
24,2.4,0.8825,1,4
25,2.5,0.895208,1,4
26,2.6,0.90848,1,4
27,2.7,0.92226,1,4
28,2.8,0.93494,1,4
29,2.9,0.94867,1,4
30,3.0,0.96332,1,4
31,3.1,0.974442,1,4
32,3.2,0.986236,1,4
33,3.3,0.995878,1,4
34,3.4,1.00095,1,4
35,3.5,1.000974,1,4
36,0.0,0.0,1,4
37,0.1,0.049972,1,4
38,0.2,0.099936,1,4
39,0.3,0.149908,1,4
40,0.4,0.199888,1,4
41,0.5,0.249834,1,4
42,0.6,0.299804,1,4
43,0.7,0.34974,1,4
44,0.8,0.399664,1,4
45,0.9,0.449594,1,4
46,1.0,0.49954,1,4
47,1.1,0.549416,1,4
48,1.2,0.599272,1,4
49,1.3,0.649154,1,4
50,1.4,0.699026,1,4
51,1.5,0.748812,1,4
52,1.6,0.798518,1,4
53,1.7,0.844884,1,4
54,1.8,0.895454,1,4
55,1.9,0.804874,1,4
56,2.0,0.82451,1,4
57,2.1,0.839558,1,4
58,2.2,0.852454,1,4
59,2.3,0.862658,1,4
60,2.4,0.877292,1,4
61,2.5,0.893744,1,4
62,2.6,0.906612,1,4
63,2.7,0.9216,1,4
64,2.8,0.932582,1,4
65,2.9,0.94742,1,4
66,3.0,0.96288,1,4
67,3.1,0.975128,1,4
68,3.2,0.986038,1,4
69,3.3,0.995402,1,4
70,3.4,0.999152,1,4
71,3.5,1.000508,1,4
72,0.0,0.0,1,4
73,0.1,0.049976,1,4
74,0.2,0.099932,1,4
75,0.3,0.149912,1,4
76,0.4,0.199886,1,4
77,0.5,0.24984,1,4
78,0.6,0.29976,1,4
79,0.7,0.349712,1,4
80,0.8,0.399646,1,4
81,0.9,0.449582,1,4
82,1.0,0.49953,1,4
83,1.1,0.54948,1,4
84,1.2,0.5994,1,4
85,1.3,0.6493,1,4
86,1.4,0.699126,1,4
87,1.5,0.748992,1,4
88,1.6,0.798772,1,4
89,1.7,0.848382,1,4
90,1.8,0.898064,1,4
91,1.9,0.947288,1,4
92,2.0,0.99105,1,4
93,2.1,0.842088,1,4
94,2.2,0.8534,1,4
95,2.3,0.864922,1,4
96,2.4,0.879648,1,4
97,2.5,0.892398,1,4
98,2.6,0.906416,1,4
99,2.7,0.919434,1,4
100,2.8,0.934016,1,4
101,2.9,0.949762,1,4
102,3.0,0.961742,1,4
103,3.1,0.97658,1,4
104,3.2,0.987644,1,4
105,3.3,0.99614,1,4
106,3.4,1.000884,1,4
107,3.5,1.001192,1,4
108,0.0,0.0,1,4
109,0.1,0.049966,1,4
110,0.2,0.099926,1,4
111,0.3,0.149882,1,4
112,0.4,0.199814,1,4
113,0.5,0.249774,1,4
114,0.6,0.299658,1,4
115,0.7,0.349618,1,4
116,0.8,0.399642,1,4
117,0.9,0.449602,1,4
118,1.0,0.499516,1,4
119,1.1,0.54958,1,4
120,1.2,0.599474,1,4
121,1.3,0.649396,1,4
122,1.4,0.699268,1,4
123,1.5,0.749036,1,4
124,1.6,0.798926,1,4
125,1.7,0.8485,1,4
126,1.8,0.89816,1,4
127,1.9,0.947168,1,4
128,2.0,0.992412,1,4
129,2.1,0.947584,1,4
130,2.2,0.857334,1,4
131,2.3,0.865208,1,4
132,2.4,0.879858,1,4
133,2.5,0.893582,1,4
134,2.6,0.906404,1,4
135,2.7,0.919624,1,4
136,2.8,0.934766,1,4
137,2.9,0.94915,1,4
138,3.0,0.96168,1,4
139,3.1,0.97435,1,4
140,3.2,0.987534,1,4
141,3.3,0.995326,1,4
142,3.4,1.000278,1,4
143,3.5,1.00104,1,4
144,0.0,0.0,1,4
145,0.1,0.049974,1,4
146,0.2,0.099922,1,4
147,0.3,0.149866,1,4
148,0.4,0.199858,1,4
149,0.5,0.249832,1,4
150,0.6,0.299794,1,4
151,0.7,0.349746,1,4
152,0.8,0.399684,1,4
153,0.9,0.449592,1,4
154,1.0,0.499362,1,4
155,1.1,0.549426,1,4
156,1.2,0.59935,1,4
157,1.3,0.64894,1,4
158,1.4,0.698556,1,4
159,1.5,0.747998,1,4
160,1.6,0.798544,1,4
161,1.7,0.847676,1,4
162,1.8,0.896622,1,4
163,1.9,0.80956,1,4
164,2.0,0.827552,1,4
165,2.1,0.84343,1,4
166,2.2,0.852496,1,4
167,2.3,0.864828,1,4
168,2.4,0.876208,1,4
169,2.5,0.89026,1,4
170,2.6,0.909318,1,4
171,2.7,0.918446,1,4
172,2.8,0.93379,1,4
173,2.9,0.950064,1,4
174,3.0,0.961438,1,4
175,3.1,0.97417,1,4
176,3.2,0.985408,1,4
177,3.3,0.996212,1,4
178,3.4,0.99965,1,4
179,3.5,1.001038,1,4
180,0.0,0.0,1,4
181,0.1,0.049958,1,4
182,0.2,0.09993,1,4
183,0.3,0.149878,1,4
184,0.4,0.199842,1,4
185,0.5,0.249778,1,4
186,0.6,0.299752,1,4
187,0.7,0.3497,1,4
188,0.8,0.399612,1,4
189,0.9,0.449558,1,4
190,1.0,0.499494,1,4
191,1.1,0.549444,1,4
192,1.2,0.599452,1,4
193,1.3,0.649254,1,4
194,1.4,0.699088,1,4
195,1.5,0.749044,1,4
196,1.6,0.798746,1,4
197,1.7,0.848684,1,4
198,1.8,0.89756,1,4
199,1.9,0.806854,1,4
200,2.0,0.941666,1,4
201,2.1,0.946836,1,4
202,2.2,0.852028,1,4
203,2.3,0.862498,1,4
204,2.4,0.880482,1,4
205,2.5,0.89184,1,4
206,2.6,0.90684,1,4
207,2.7,0.919066,1,4
208,2.8,0.933882,1,4
209,2.9,0.948478,1,4
210,3.0,0.96052,1,4
211,3.1,0.972392,1,4
212,3.2,0.986932,1,4
213,3.3,0.993862,1,4
214,3.4,0.999532,1,4
215,3.5,0.999356,1,4
216,0.0,0.0,1,4
217,0.1,0.04997,1,4
218,0.2,0.099936,1,4
219,0.3,0.14991,1,4
220,0.4,0.199868,1,4
221,0.5,0.249814,1,4
222,0.6,0.299768,1,4
223,0.7,0.349742,1,4
224,0.8,0.399716,1,4
225,0.9,0.44963,1,4
226,1.0,0.499528,1,4
227,1.1,0.549416,1,4
228,1.2,0.599282,1,4
229,1.3,0.649228,1,4
230,1.4,0.698854,1,4
231,1.5,0.748602,1,4
232,1.6,0.798144,1,4
233,1.7,0.847294,1,4
234,1.8,0.785126,1,4
235,1.9,0.945332,1,4
236,2.0,0.827136,1,4
237,2.1,0.834594,1,4
238,2.2,0.851052,1,4
239,2.3,0.864464,1,4
240,2.4,0.879948,1,4
241,2.5,0.896712,1,4
242,2.6,0.906428,1,4
243,2.7,0.92008,1,4
244,2.8,0.93467,1,4
245,2.9,0.94851,1,4
246,3.0,0.961488,1,4
247,3.1,0.975432,1,4
248,3.2,0.987092,1,4
249,3.3,0.996324,1,4
250,3.4,1.000636,1,4
251,3.5,1.000684,1,4
252,0.0,0.0,1,4
253,0.1,0.049976,1,4
254,0.2,0.099946,1,4
255,0.3,0.149892,1,4
256,0.4,0.199838,1,4
257,0.5,0.249822,1,4
258,0.6,0.299772,1,4
259,0.7,0.349742,1,4
260,0.8,0.399724,1,4
261,0.9,0.449628,1,4
262,1.0,0.499526,1,4
263,1.1,0.54951,1,4
264,1.2,0.599398,1,4
265,1.3,0.649236,1,4
266,1.4,0.699182,1,4
267,1.5,0.749118,1,4
268,1.6,0.79884,1,4
269,1.7,0.84833,1,4
270,1.8,0.897972,1,4
271,1.9,0.947436,1,4
272,2.0,0.990316,1,4
273,2.1,0.96215,1,4
274,2.2,0.85969,1,4
275,2.3,0.868038,1,4
276,2.4,0.880442,1,4
277,2.5,0.894146,1,4
278,2.6,0.907122,1,4
279,2.7,0.921848,1,4
280,2.8,0.934942,1,4
281,2.9,0.948258,1,4
282,3.0,0.962742,1,4
283,3.1,0.97475,1,4
284,3.2,0.985714,1,4
285,3.3,0.996678,1,4
286,3.4,1.000738,1,4
287,3.5,1.001238,1,4
288,0.0,0.0,1,4
289,0.1,0.04997,1,4
290,0.2,0.09995,1,4
291,0.3,0.149922,1,4
292,0.4,0.199886,1,4
293,0.5,0.249832,1,4
294,0.6,0.29981,1,4
295,0.7,0.349712,1,4
296,0.8,0.399704,1,4
297,0.9,0.4496,1,4
298,1.0,0.4995,1,4
299,1.1,0.549384,1,4
300,1.2,0.599366,1,4
301,1.3,0.649212,1,4
302,1.4,0.6992,1,4
303,1.5,0.748952,1,4
304,1.6,0.798942,1,4
305,1.7,0.848606,1,4
306,1.8,0.89812,1,4
307,1.9,0.941338,1,4
308,2.0,0.946156,1,4
309,2.1,0.960308,1,4
310,2.2,0.851484,1,4
311,2.3,0.867798,1,4
312,2.4,0.884516,1,4
313,2.5,0.89192,1,4
314,2.6,0.906516,1,4
315,2.7,0.920874,1,4
316,2.8,0.934288,1,4
317,2.9,0.948494,1,4
318,3.0,0.962244,1,4
319,3.1,0.975948,1,4
320,3.2,0.985638,1,4
321,3.3,0.996126,1,4
322,3.4,1.000366,1,4
323,3.5,1.000366,1,4
324,0.0,0.0,1,4
325,0.1,0.049964,1,4
326,0.2,0.099924,1,4
327,0.3,0.149894,1,4
328,0.4,0.199802,1,4
329,0.5,0.249702,1,4
330,0.6,0.29967,1,4
331,0.7,0.34961,1,4
332,0.8,0.399542,1,4
333,0.9,0.449546,1,4
334,1.0,0.499496,1,4
335,1.1,0.549424,1,4
336,1.2,0.599356,1,4
337,1.3,0.649274,1,4
338,1.4,0.6992,1,4
339,1.5,0.749132,1,4
340,1.6,0.7987,1,4
341,1.7,0.848518,1,4
342,1.8,0.897712,1,4
343,1.9,0.947584,1,4
344,2.0,0.99555,1,4
345,2.1,0.840942,1,4
346,2.2,0.852428,1,4
347,2.3,0.863954,1,4
348,2.4,0.87929,1,4
349,2.5,0.893196,1,4
350,2.6,0.907604,1,4
351,2.7,0.921644,1,4
352,2.8,0.934658,1,4
353,2.9,0.94895,1,4
354,3.0,0.962456,1,4
355,3.1,0.97486,1,4
356,3.2,0.986972,1,4
357,3.3,0.996828,1,4
358,3.4,1.000642,1,4
359,3.5,1.001226,1,4
