,N/L,Flow,Pat,R_a
0,1.8,0.672506,1,9
1,1.81,0.676174,1,9
2,1.82,0.67883,1,9
3,1.83,0.682252,1,9
4,1.84,0.68533,1,9
5,1.85,0.68954,1,9
6,1.86,0.692242,1,9
7,1.87,0.694612,1,9
8,1.88,0.696938,1,9
9,1.89,0.701504,1,9
10,1.9,0.704558,1,9
11,1.91,0.705826,1,9
12,1.92,0.712758,1,9
13,1.93,0.711606,1,9
14,1.94,0.717974,1,9
15,1.95,0.720494,1,9
16,1.96,0.722726,1,9
17,1.97,0.727098,1,9
18,1.98,0.728108,1,9
19,1.99,0.731524,1,9
20,2.0,0.73518,1,9
21,2.01,0.738448,1,9
22,2.02,0.74189,1,9
23,2.03,0.74389,1,9
24,2.04,0.74907,1,9
25,2.05,0.750872,1,9
26,2.06,0.754888,1,9
27,2.07,0.757714,1,9
28,2.08,0.76017,1,9
29,2.09,0.76389,1,9
30,2.1,0.767612,1,9
31,2.11,0.769832,1,9
32,2.12,0.773512,1,9
33,2.13,0.776476,1,9
34,2.14,0.778284,1,9
35,2.15,0.782842,1,9
36,2.16,0.78787,1,9
37,2.17,0.787148,1,9
38,2.18,0.79196,1,9
39,2.19,0.794272,1,9
40,2.2,0.80014,1,9
41,2.21,0.79983,1,9
42,2.22,0.80286,1,9
43,2.23,0.807794,1,9
44,2.24,0.810908,1,9
45,2.25,0.813566,1,9
46,2.26,0.817202,1,9
47,2.27,0.81809,1,9
48,2.28,0.822076,1,9
49,2.29,0.825586,1,9
50,2.3,0.82909,1,9
51,1.8,0.674686,1,9
52,1.81,0.67375,1,9
53,1.82,0.678932,1,9
54,1.83,0.682858,1,9
55,1.84,0.683928,1,9
56,1.85,0.688018,1,9
57,1.86,0.689818,1,9
58,1.87,0.694286,1,9
59,1.88,0.696318,1,9
60,1.89,0.699756,1,9
61,1.9,0.70318,1,9
62,1.91,0.706134,1,9
63,1.92,0.710568,1,9
64,1.93,0.712104,1,9
65,1.94,0.71737,1,9
66,1.95,0.71836,1,9
67,1.96,0.721928,1,9
68,1.97,0.7263,1,9
69,1.98,0.728574,1,9
70,1.99,0.733808,1,9
71,2.0,0.736538,1,9
72,2.01,0.738578,1,9
73,2.02,0.74182,1,9
74,2.03,0.747008,1,9
75,2.04,0.747306,1,9
76,2.05,0.751468,1,9
77,2.06,0.7555,1,9
78,2.07,0.757016,1,9
79,2.08,0.760908,1,9
80,2.09,0.763926,1,9
81,2.1,0.767736,1,9
82,2.11,0.768864,1,9
83,2.12,0.77433,1,9
84,2.13,0.776326,1,9
85,2.14,0.77874,1,9
86,2.15,0.78228,1,9
87,2.16,0.786684,1,9
88,2.17,0.7877,1,9
89,2.18,0.79037,1,9
90,2.19,0.79511,1,9
91,2.2,0.79954,1,9
92,2.21,0.802106,1,9
93,2.22,0.804958,1,9
94,2.23,0.806286,1,9
95,2.24,0.810726,1,9
96,2.25,0.81345,1,9
97,2.26,0.81693,1,9
98,2.27,0.818888,1,9
99,2.28,0.823424,1,9
100,2.29,0.826132,1,9
101,2.3,0.82744,1,9
102,1.8,0.67411,1,9
103,1.81,0.675268,1,9
104,1.82,0.681314,1,9
105,1.83,0.682112,1,9
106,1.84,0.685134,1,9
107,1.85,0.687856,1,9
