,N/L,Flow,Pat,R_a
212,1.88,0.937552,1,3
213,1.89,0.942796,1,3
214,1.9,0.947438,1,3
215,1.91,0.9531,1,3
216,1.92,0.832732,1,3
217,1.93,0.961896,1,3
218,1.94,0.835624,1,3
219,1.95,0.971038,1,3
220,1.96,0.839544,1,3
221,1.97,0.981194,1,3
222,1.98,0.983722,1,3
223,1.99,0.844168,1,3
224,2.0,0.99322,1,3
225,2.01,0.99615,1,3
226,2.02,0.994764,1,3
227,2.03,0.911856,1,3
228,2.04,0.85477,1,3
229,2.05,0.852284,1,3
230,2.06,0.987618,1,3
231,2.07,0.919828,1,3
232,2.08,0.85141,1,3
233,2.09,0.967172,1,3
234,2.1,0.997124,1,3
235,2.11,0.927932,1,3
236,2.12,0.86203,1,3
237,2.13,0.873704,1,3
238,2.14,0.858334,1,3
239,2.15,0.86366,1,3
240,2.16,0.99417,1,3
241,2.17,0.864476,1,3
242,2.18,0.865702,1,3
243,2.19,0.868126,1,3
244,2.2,0.868174,1,3
245,2.21,0.869556,1,3
246,2.22,0.874008,1,3
247,2.23,0.874366,1,3
248,2.24,0.87343,1,3
249,2.25,0.875268,1,3
250,2.26,0.87633,1,3
251,2.27,0.881924,1,3
252,2.28,0.894886,1,3
253,2.29,0.879748,1,3
254,2.3,0.882954,1,3
255,1.8,0.897546,1,3
256,1.81,0.903032,1,3
257,1.82,0.908288,1,3
258,1.83,0.913256,1,3
259,1.84,0.91802,1,3
260,1.85,0.922774,1,3
261,1.86,0.91887,1,3
262,1.87,0.933082,1,3
263,1.88,0.936478,1,3
264,1.89,0.942904,1,3
265,1.9,0.946716,1,3
266,1.91,0.950978,1,3
267,1.92,0.954988,1,3
268,1.93,0.835298,1,3
269,1.94,0.965512,1,3
270,1.95,0.970876,1,3
271,1.96,0.976438,1,3
272,1.97,0.980006,1,3
273,1.98,0.983576,1,3
274,1.99,0.846274,1,3
275,2.0,0.99464,1,3
276,2.01,0.995778,1,3
277,2.02,0.977948,1,3
278,2.03,0.843384,1,3
279,2.04,0.85441,1,3
280,2.05,0.964646,1,3
281,2.06,0.850392,1,3
282,2.07,0.9237,1,3
283,2.08,0.96287,1,3
284,2.09,0.996712,1,3
285,2.1,0.926728,1,3
286,2.11,0.995108,1,3
287,2.12,0.857936,1,3
288,2.13,0.960692,1,3
289,2.14,0.863634,1,3
290,2.15,0.861242,1,3
291,2.16,0.867022,1,3
292,2.17,0.980152,1,3
293,2.18,0.8666,1,3
294,2.19,0.86833,1,3
295,2.2,0.875786,1,3
296,2.21,0.868572,1,3
297,2.22,0.98878,1,3
298,2.23,0.875728,1,3
299,2.24,0.877128,1,3
300,2.25,0.879484,1,3
301,2.26,0.877332,1,3
302,2.27,0.878592,1,3
303,2.28,0.87912,1,3
304,2.29,0.979856,1,3
305,2.3,0.883922,1,3
306,1.8,0.897388,1,3
307,1.81,0.902618,1,3
308,1.82,0.908234,1,3
309,1.83,0.912852,1,3
310,1.84,0.917884,1,3
311,1.85,0.922288,1,3
312,1.86,0.927878,1,3
313,1.87,0.932754,1,3
314,1.88,0.824678,1,3
315,1.89,0.941946,1,3
316,1.9,0.94649,1,3
317,1.91,0.95189,1,3
318,1.92,0.956106,1,3
319,1.93,0.957948,1,3
320,1.94,0.965052,1,3
321,1.95,0.972792,1,3
322,1.96,0.97604,1,3
323,1.97,0.9793,1,3
324,1.98,0.841822,1,3
325,1.99,0.901416,1,3
326,2.0,0.99494,1,3
327,2.01,0.994834,1,3
328,2.02,0.847456,1,3
329,2.03,0.846352,1,3
330,2.04,0.850282,1,3
331,2.05,0.995696,1,3
332,2.06,0.846856,1,3
333,2.07,0.997388,1,3
334,2.08,0.922772,1,3
335,2.09,0.853074,1,3
336,2.1,0.857408,1,3
337,2.11,0.857004,1,3
338,2.12,0.859856,1,3
339,2.13,0.861638,1,3
340,2.14,0.974022,1,3
341,2.15,0.863506,1,3
342,2.16,0.996454,1,3
343,2.17,0.865036,1,3
344,2.18,0.866492,1,3
345,2.19,0.86833,1,3
346,2.2,0.86994,1,3
347,2.21,0.871836,1,3
348,2.22,0.870394,1,3
349,2.23,0.874198,1,3
350,2.24,0.957476,1,3
351,2.25,0.877502,1,3
352,2.26,0.879366,1,3
353,2.27,0.880476,1,3
354,2.28,0.878788,1,3
355,2.29,0.882398,1,3
356,2.3,0.8838,1,3
357,1.8,0.894488,1,3
358,1.81,0.903296,1,3
359,1.82,0.908038,1,3
360,1.83,0.913024,1,3
361,1.84,0.917094,1,3
362,1.85,0.918222,1,3
363,1.86,0.92752,1,3
364,1.87,0.932096,1,3
365,1.88,0.937466,1,3
366,1.89,0.942356,1,3
