,N/L,Flow,Pat,R_a
212,1.88,0.880892,1,5
213,1.89,0.937246,1,5
214,1.9,0.794634,1,5
215,1.91,0.945444,1,5
216,1.92,0.947742,1,5
217,1.93,0.800554,1,5
218,1.94,0.79919,1,5
219,1.95,0.971604,1,5
220,1.96,0.808332,1,5
221,1.97,0.901872,1,5
222,1.98,0.972858,1,5
223,1.99,0.800418,1,5
224,2.0,0.921204,1,5
225,2.01,0.814426,1,5
226,2.02,0.806688,1,5
227,2.03,0.817794,1,5
228,2.04,0.823286,1,5
229,2.05,0.850252,1,5
230,2.06,0.935432,1,5
231,2.07,0.818804,1,5
232,2.08,0.937838,1,5
233,2.09,0.833438,1,5
234,2.1,0.826564,1,5
235,2.11,0.82183,1,5
236,2.12,0.836566,1,5
237,2.13,0.896862,1,5
238,2.14,0.826988,1,5
239,2.15,0.84145,1,5
240,2.16,0.837426,1,5
241,2.17,0.845358,1,5
242,2.18,0.845252,1,5
243,2.19,0.834948,1,5
244,2.2,0.844252,1,5
245,2.21,0.895046,1,5
246,2.22,0.842992,1,5
247,2.23,0.847016,1,5
248,2.24,0.844348,1,5
249,2.25,0.845566,1,5
250,2.26,0.84556,1,5
251,2.27,0.853688,1,5
252,2.28,0.855072,1,5
253,2.29,0.857242,1,5
254,2.3,0.854596,1,5
255,1.8,0.89803,1,5
256,1.81,0.784112,1,5
257,1.82,0.902078,1,5
258,1.83,0.912236,1,5
259,1.84,0.917882,1,5
260,1.85,0.87303,1,5
261,1.86,0.917814,1,5
262,1.87,0.787662,1,5
263,1.88,0.791264,1,5
264,1.89,0.941724,1,5
265,1.9,0.937698,1,5
266,1.91,0.822146,1,5
267,1.92,0.812876,1,5
268,1.93,0.79783,1,5
269,1.94,0.96052,1,5
270,1.95,0.972004,1,5
271,1.96,0.965386,1,5
272,1.97,0.809194,1,5
273,1.98,0.974626,1,5
274,1.99,0.842356,1,5
275,2.0,0.814028,1,5
276,2.01,0.838878,1,5
277,2.02,0.818878,1,5
278,2.03,0.928146,1,5
279,2.04,0.8221,1,5
280,2.05,0.821572,1,5
281,2.06,0.852244,1,5
282,2.07,0.81354,1,5
283,2.08,0.819958,1,5
284,2.09,0.823806,1,5
285,2.1,0.826846,1,5
286,2.11,0.943316,1,5
287,2.12,0.836506,1,5
288,2.13,0.84087,1,5
289,2.14,0.874216,1,5
290,2.15,0.83343,1,5
291,2.16,0.833776,1,5
292,2.17,0.955788,1,5
293,2.18,0.956998,1,5
294,2.19,0.838306,1,5
295,2.2,0.84797,1,5
296,2.21,0.838122,1,5
297,2.22,0.845064,1,5
298,2.23,0.843248,1,5
299,2.24,0.85261,1,5
300,2.25,0.847088,1,5
301,2.26,0.846158,1,5
302,2.27,0.85324,1,5
303,2.28,0.85604,1,5
