,N,L,Max,Pat,R_A
324,300,100,0.960758,1,4
325,300,100,0.959762,1,5
326,300,100,0.956214,1,6
327,300,100,0.954984,1,7
328,300,100,0.954992,1,8
329,300,100,0.954972,1,9
330,0,100,0.0,1,0
331,0,100,0.0,1,1
332,0,100,0.0,1,2
333,0,100,0.0,1,3
334,0,100,0.0,1,4
335,0,100,0.0,1,5
336,0,100,0.0,1,6
337,0,100,0.0,1,7
338,0,100,0.0,1,8
339,0,100,0.0,1,9
340,30,100,0.14997,1,0
341,30,100,0.149922,1,1
342,30,100,0.149934,1,2
343,30,100,0.149958,1,3
344,30,100,0.149848,1,4
345,30,100,0.149886,1,5
346,30,100,0.149868,1,6
347,30,100,0.14987,1,7
348,30,100,0.149804,1,8
349,30,100,0.149874,1,9
350,60,100,0.29974,1,0
351,60,100,0.299792,1,1
352,60,100,0.299754,1,2
353,60,100,0.29985,1,3
354,60,100,0.299684,1,4
355,60,100,0.299728,1,5
356,60,100,0.299694,1,6
357,60,100,0.299638,1,7
358,60,100,0.299612,1,8
359,60,100,0.270238,1,9
360,90,100,0.449524,1,0
361,90,100,0.449592,1,1
362,90,100,0.44964,1,2
363,90,100,0.449746,1,3
364,90,100,0.449504,1,4
365,90,100,0.449464,1,5
366,90,100,0.44942,1,6
367,90,100,0.449362,1,7
368,90,100,0.449244,1,8
369,90,100,0.379206,1,9
370,120,100,0.598932,1,0
371,120,100,0.599294,1,1
372,120,100,0.599362,1,2
373,120,100,0.59936,1,3
374,120,100,0.599282,1,4
375,120,100,0.59938,1,5
376,120,100,0.59894,1,6
377,120,100,0.599014,1,7
378,120,100,0.598838,1,8
379,120,100,0.47602,1,9
380,150,100,0.748254,1,0
381,150,100,0.748902,1,1
382,150,100,0.748974,1,2
383,150,100,0.748808,1,3
384,150,100,0.748746,1,4
385,150,100,0.748686,1,5
386,150,100,0.74862,1,6
387,150,100,0.748342,1,7
388,150,100,0.748254,1,8
389,150,100,0.576408,1,9
390,180,100,0.823216,1,0
391,180,100,0.897454,1,1
392,180,100,0.898346,1,2
393,180,100,0.897956,1,3
394,180,100,0.89627,1,4
395,180,100,0.897364,1,5
396,180,100,0.896038,1,6
397,180,100,0.7998,1,7
398,180,100,0.838654,1,8
399,180,100,0.67217,1,9
400,210,100,0.942596,1,0
401,210,100,0.997108,1,1
402,210,100,0.95657,1,2
403,210,100,0.859018,1,3
404,210,100,0.841548,1,4
405,210,100,0.81995,1,5
406,210,100,0.831596,1,6
407,210,100,0.796746,1,7
408,210,100,0.841018,1,8
409,210,100,0.766716,1,9
410,240,100,0.967974,1,0
411,240,100,0.943096,1,1
412,240,100,0.912524,1,2
413,240,100,0.894068,1,3
414,240,100,0.879042,1,4
415,240,100,0.871918,1,5
416,240,100,0.86557,1,6
417,240,100,0.864854,1,7
418,240,100,0.857294,1,8
419,240,100,0.856332,1,9
420,270,100,0.998152,1,0
421,270,100,0.962658,1,1
422,270,100,0.9423,1,2
423,270,100,0.932514,1,3
424,270,100,0.921496,1,4
425,270,100,0.91475,1,5
426,270,100,0.917182,1,6
