,N/L,Flow,Pat,r_a
0,0.0,0.0,1,7
1,0.1,0.049966,1,7
2,0.2,0.099898,1,7
3,0.3,0.149858,1,7
4,0.4,0.199808,1,7
5,0.5,0.24975,1,7
6,0.6,0.29968,1,7
7,0.7,0.349614,1,7
8,0.8,0.399486,1,7
9,0.9,0.44944,1,7
10,1.0,0.499374,1,7
11,1.1,0.549312,1,7
12,1.2,0.599248,1,7
13,1.3,0.649126,1,7
14,1.4,0.698734,1,7
15,1.5,0.748586,1,7
16,1.6,0.71136,1,7
17,1.7,0.84804,1,7
18,1.8,0.893062,1,7
19,1.9,0.791976,1,7
20,2.0,0.857036,1,7
21,2.1,0.816962,1,7
22,2.2,0.827314,1,7
23,2.3,0.841592,1,7
24,2.4,0.862662,1,7
25,2.5,0.880504,1,7
26,2.6,0.89809,1,7
27,2.7,0.915468,1,7
28,2.8,0.927222,1,7
29,2.9,0.941888,1,7
30,3.0,0.956586,1,7
31,3.1,0.96742,1,7
32,3.2,0.973934,1,7
33,3.3,0.983518,1,7
34,3.4,0.988884,1,7
35,3.5,0.996582,1,7
36,0.0,0.0,1,7
37,0.1,0.049972,1,7
38,0.2,0.099938,1,7
39,0.3,0.149886,1,7
40,0.4,0.199886,1,7
41,0.5,0.249772,1,7
42,0.6,0.299762,1,7
43,0.7,0.349678,1,7
44,0.8,0.399548,1,7
45,0.9,0.44946,1,7
46,1.0,0.499402,1,7
47,1.1,0.549262,1,7
48,1.2,0.59899,1,7
49,1.3,0.648944,1,7
50,1.4,0.698614,1,7
51,1.5,0.74819,1,7
52,1.6,0.797738,1,7
53,1.7,0.736726,1,7
54,1.8,0.7283,1,7
55,1.9,0.77706,1,7
56,2.0,0.79196,1,7
57,2.1,0.812272,1,7
58,2.2,0.824606,1,7
59,2.3,0.84346,1,7
60,2.4,0.8628,1,7
61,2.5,0.882496,1,7
62,2.6,0.897232,1,7
63,2.7,0.91431,1,7
64,2.8,0.927072,1,7
65,2.9,0.94186,1,7
66,3.0,0.952062,1,7
67,3.1,0.96546,1,7
68,3.2,0.974892,1,7
69,3.3,0.981308,1,7
70,3.4,0.988808,1,7
71,3.5,0.994362,1,7
72,0.0,0.0,1,7
73,0.1,0.049976,1,7
