,N,L,Flow,Pat,r_a,speed
315,189,100,0.942786,1,3,0.0
316,190,100,0.828726,1,3,0.12785688508724216
317,191,100,0.952616,1,3,0.0
318,192,100,0.955048,1,3,0.0
319,193,100,0.837198,1,3,0.13341941535686602
320,194,100,0.964092,1,3,0.0
321,195,100,0.960068,1,3,0.0
322,196,100,0.974738,1,3,0.0
323,197,100,0.89667,1,3,0.2257874061437408
324,198,100,0.98391,1,3,0.0
325,199,100,0.990128,1,3,0.0
326,200,100,0.904154,1,3,0.22571203242744795
327,201,100,0.995248,1,3,0.0
328,202,100,0.94938,1,3,0.15906678286809578
329,203,100,0.993306,1,3,0.0
330,204,100,0.99403,1,3,0.0
331,205,100,0.918118,1,3,0.2256951060824355
332,206,100,0.847826,1,3,0.13871094550820517
333,207,100,0.85209,1,3,0.13587270652675254
334,208,100,0.991186,1,3,0.0760652746767529
335,209,100,0.854236,1,3,0.13821755788153878
336,210,100,0.855706,1,3,0.13231608284790627
337,211,100,0.930366,1,3,0.2257742634453668
338,212,100,0.855544,1,3,0.13466387989743817
339,213,100,0.974064,1,3,0.15908224753009448
340,214,100,0.859576,1,3,0.13127384950491994
341,215,100,0.862052,1,3,0.1378987004089387
342,216,100,0.863374,1,3,0.12385377632680993
343,217,100,0.870408,1,3,0.1395240740923149
344,218,100,0.865842,1,3,0.12532278450793694
345,219,100,0.868306,1,3,0.12961923421548688
346,220,100,0.869644,1,3,0.13131164277471394
347,221,100,0.871652,1,3,0.12576630321916174
348,222,100,0.87065,1,3,0.12437653361057656
349,223,100,0.874186,1,3,0.12624450666830575
350,224,100,0.873192,1,3,0.12187930801168743
351,225,100,0.877144,1,3,0.11726966498842285
352,226,100,0.875422,1,3,0.1291983105742208
353,227,100,0.87979,1,3,0.13380755630575422
354,228,100,0.879326,1,3,0.13167248191743325
355,229,100,0.882296,1,3,0.12236367698626033
356,230,100,0.881876,1,3,0.10290500173036715
357,180,100,0.898364,1,3,0.0
358,181,100,0.902692,1,3,0.0
359,182,100,0.815804,1,3,0.13822135559804696
360,183,100,0.912258,1,3,0.0
361,184,100,0.91791,1,3,0.0
362,185,100,0.922528,1,3,0.0
363,186,100,0.927284,1,3,0.0
364,187,100,0.931998,1,3,0.0
365,188,100,0.936796,1,3,0.0
366,189,100,0.826404,1,3,0.1156704929562412
367,190,100,0.94738,1,3,0.0
368,191,100,0.9528,1,3,0.0
369,192,100,0.957642,1,3,0.0
370,193,100,0.888282,1,3,0.22572653613097532
371,194,100,0.96708,1,3,0.0
372,195,100,0.837576,1,3,0.13028705148121472
373,196,100,0.976004,1,3,0.0
374,197,100,0.944574,1,3,0.15908660130458546
375,198,100,0.984882,1,3,0.0
376,199,100,0.986716,1,3,0.0
377,200,100,0.993698,1,3,0.0
378,201,100,0.974344,1,3,0.0
379,202,100,0.996046,1,3,0.0
380,203,100,0.849828,1,3,0.12730791115370213
381,204,100,0.991642,1,3,0.0
382,205,100,0.997138,1,3,0.0
383,206,100,0.996704,1,3,0.22131147540981466
384,207,100,0.8597,1,3,0.11915383411276344
385,208,100,0.995686,1,3,0.9999999999999525
