,N/L,Flow,Pat,R_a
0,1.8,0.892516,1,7
1,1.81,0.90108,1,7
2,1.82,0.771288,1,7
3,1.83,0.774022,1,7
4,1.84,0.809982,1,7
5,1.85,0.922722,1,7
6,1.86,0.767334,1,7
7,1.87,0.768926,1,7
8,1.88,0.822444,1,7
9,1.89,0.790648,1,7
10,1.9,0.828088,1,7
11,1.91,0.772798,1,7
12,1.92,0.798874,1,7
13,1.93,0.781132,1,7
14,1.94,0.780266,1,7
15,1.95,0.78784,1,7
16,1.96,0.78793,1,7
17,1.97,0.79181,1,7
18,1.98,0.790334,1,7
19,1.99,0.816868,1,7
20,2.0,0.778794,1,7
21,2.01,0.80032,1,7
22,2.02,0.799606,1,7
23,2.03,0.82592,1,7
24,2.04,0.800036,1,7
25,2.05,0.799232,1,7
26,2.06,0.796994,1,7
27,2.07,0.812416,1,7
28,2.08,0.799992,1,7
29,2.09,0.80108,1,7
30,2.1,0.797124,1,7
31,2.11,0.80463,1,7
32,2.12,0.80619,1,7
33,2.13,0.810782,1,7
34,2.14,0.811286,1,7
35,2.15,0.814558,1,7
36,2.16,0.814498,1,7
37,2.17,0.82517,1,7
38,2.18,0.832384,1,7
39,2.19,0.823218,1,7
40,2.2,0.821344,1,7
41,2.21,0.82588,1,7
42,2.22,0.829056,1,7
43,2.23,0.831164,1,7
44,2.24,0.832886,1,7
45,2.25,0.830898,1,7
46,2.26,0.836106,1,7
47,2.27,0.83925,1,7
48,2.28,0.839728,1,7
49,2.29,0.843282,1,7
50,2.3,0.843226,1,7
51,1.8,0.76506,1,7
52,1.81,0.768966,1,7
53,1.82,0.753236,1,7
54,1.83,0.774022,1,7
55,1.84,0.76326,1,7
56,1.85,0.76289,1,7
57,1.86,0.782532,1,7
58,1.87,0.76415,1,7
59,1.88,0.905462,1,7
60,1.89,0.773888,1,7
61,1.9,0.774736,1,7
62,1.91,0.796002,1,7
63,1.92,0.75951,1,7
64,1.93,0.780694,1,7
65,1.94,0.788916,1,7
66,1.95,0.933494,1,7
67,1.96,0.9734,1,7
68,1.97,0.772524,1,7
69,1.98,0.79413,1,7
70,1.99,0.7941,1,7
71,2.0,0.822216,1,7
72,2.01,0.823862,1,7
73,2.02,0.824058,1,7
74,2.03,0.801524,1,7
75,2.04,0.805696,1,7
76,2.05,0.949108,1,7
77,2.06,0.797802,1,7
78,2.07,0.79438,1,7
79,2.08,0.808598,1,7
80,2.09,0.815932,1,7
81,2.1,0.802056,1,7
82,2.11,0.8047,1,7
83,2.12,0.851418,1,7
84,2.13,0.829506,1,7
85,2.14,0.834466,1,7
86,2.15,0.821434,1,7
87,2.16,0.81858,1,7
88,2.17,0.821724,1,7
89,2.18,0.829334,1,7
90,2.19,0.825518,1,7
91,2.2,0.819042,1,7
92,2.21,0.835812,1,7
93,2.22,0.830542,1,7
94,2.23,0.832814,1,7
95,2.24,0.83178,1,7
96,2.25,0.837492,1,7
97,2.26,0.835912,1,7
98,2.27,0.838526,1,7
99,2.28,0.83947,1,7
100,2.29,0.844772,1,7
101,2.3,0.842018,1,7
102,1.8,0.751352,1,7
103,1.81,0.749736,1,7
104,1.82,0.907082,1,7
105,1.83,0.807562,1,7
106,1.84,0.776716,1,7
107,1.85,0.77941,1,7
108,1.86,0.926382,1,7
109,1.87,0.773156,1,7
110,1.88,0.768434,1,7
111,1.89,0.790138,1,7
112,1.9,0.770512,1,7
113,1.91,0.775392,1,7
114,1.92,0.798308,1,7
115,1.93,0.802034,1,7
116,1.94,0.784644,1,7
117,1.95,0.768884,1,7
118,1.96,0.769558,1,7
119,1.97,0.79017,1,7
120,1.98,0.815246,1,7
121,1.99,0.855948,1,7
122,2.0,0.820572,1,7
123,2.01,0.802078,1,7
124,2.02,0.801592,1,7
125,2.03,0.827884,1,7
126,2.04,0.809376,1,7
127,2.05,0.808718,1,7
128,2.06,0.795818,1,7
129,2.07,0.794996,1,7
130,2.08,0.7926,1,7
131,2.09,0.800748,1,7
132,2.1,0.818862,1,7
133,2.11,0.805564,1,7
134,2.12,0.82137,1,7
135,2.13,0.809788,1,7
136,2.14,0.811782,1,7
137,2.15,0.830192,1,7
138,2.16,0.81456,1,7
139,2.17,0.819148,1,7
140,2.18,0.820838,1,7
141,2.19,0.821804,1,7
142,2.2,0.837718,1,7
143,2.21,0.828944,1,7
144,2.22,0.83986,1,7
145,2.23,0.834882,1,7
146,2.24,0.831878,1,7
147,2.25,0.842782,1,7
148,2.26,0.849184,1,7
149,2.27,0.838058,1,7
150,2.28,0.845276,1,7
151,2.29,0.842628,1,7
152,2.3,0.844694,1,7
153,1.8,0.765042,1,7
154,1.81,0.754318,1,7
155,1.82,0.756348,1,7
156,1.83,0.73734,1,7
157,1.84,0.759026,1,7
158,1.85,0.785992,1,7
159,1.86,0.763028,1,7
160,1.87,0.770844,1,7
161,1.88,0.769776,1,7
162,1.89,0.826932,1,7
163,1.9,0.7722,1,7
164,1.91,0.757182,1,7
165,1.92,0.78681,1,7
166,1.93,0.960108,1,7
167,1.94,0.803576,1,7
168,1.95,0.787902,1,7
169,1.96,0.80769,1,7
170,1.97,0.778166,1,7
171,1.98,0.795194,1,7
172,1.99,0.78853,1,7
173,2.0,0.798628,1,7
174,2.01,0.798008,1,7
175,2.02,0.78476,1,7
176,2.03,0.828128,1,7
177,2.04,0.789184,1,7
178,2.05,0.79207,1,7
179,2.06,0.80838,1,7
180,2.07,0.808374,1,7
181,2.08,0.798434,1,7
182,2.09,0.811264,1,7
183,2.1,0.808688,1,7
184,2.11,0.80599,1,7
185,2.12,0.80888,1,7
186,2.13,0.810324,1,7
187,2.14,0.824788,1,7
188,2.15,0.812304,1,7
189,2.16,0.81904,1,7
190,2.17,0.816492,1,7
191,2.18,0.833614,1,7
192,2.19,0.83607,1,7
193,2.2,0.824266,1,7
194,2.21,0.834698,1,7
195,2.22,0.828156,1,7
196,2.23,0.829692,1,7
197,2.24,0.836498,1,7
198,2.25,0.8305,1,7
199,2.26,0.844554,1,7
200,2.27,0.839708,1,7
201,2.28,0.837656,1,7
202,2.29,0.856406,1,7
203,2.3,0.852,1,7
204,1.8,0.749176,1,7
205,1.81,0.769192,1,7
206,1.82,0.754944,1,7
207,1.83,0.912076,1,7
208,1.84,0.742828,1,7
209,1.85,0.760902,1,7
210,1.86,0.761306,1,7
211,1.87,0.923938,1,7
212,1.88,0.787404,1,7
213,1.89,0.791598,1,7
214,1.9,0.791678,1,7
215,1.91,0.830792,1,7
216,1.92,0.796022,1,7
217,1.93,0.801306,1,7
218,1.94,0.780244,1,7
219,1.95,0.785248,1,7
